episode,score,mean_20,mean_100,epsilon,loss
1,0,0.0,0.0,0.01,10.817149877548218
2,0,0.0,0.0,0.01,10.817149877548218
3,0,0.0,0.0,0.01,10.817149877548218
4,0,0.0,0.0,0.01,10.817149877548218
5,0,0.0,0.0,0.01,10.817149877548218
6,0,0.0,0.0,0.01,30.221996307373047
7,0,0.0,0.0,0.01,30.221996307373047
8,0,0.0,0.0,0.01,30.221996307373047
9,0,0.0,0.0,0.01,30.221996307373047
10,0,0.0,0.0,0.01,30.221996307373047
11,0,0.0,0.0,0.01,30.221996307373047
12,0,0.0,0.0,0.01,30.221996307373047
13,0,0.0,0.0,0.01,30.221996307373047
14,0,0.0,0.0,0.01,30.221996307373047
15,0,0.0,0.0,0.01,30.221996307373047
16,0,0.0,0.0,0.01,30.221996307373047
17,0,0.0,0.0,0.01,30.221996307373047
18,0,0.0,0.0,0.01,30.221996307373047
19,0,0.0,0.0,0.01,30.221996307373047
20,0,0.0,0.0,0.01,30.221996307373047
21,0,0.0,0.0,0.01,30.221996307373047
22,0,0.0,0.0,0.01,30.221996307373047
23,0,0.0,0.0,0.01,30.221996307373047
24,0,0.0,0.0,0.01,30.221996307373047
25,0,0.0,0.0,0.01,30.221996307373047
26,0,0.0,0.0,0.01,30.221996307373047
27,0,0.0,0.0,0.01,30.221996307373047
28,0,0.0,0.0,0.01,30.221996307373047
29,0,0.0,0.0,0.01,30.221996307373047
30,0,0.0,0.0,0.01,30.221996307373047
31,0,0.0,0.0,0.01,30.221996307373047
32,0,0.0,0.0,0.01,30.221996307373047
33,0,0.0,0.0,0.01,23.18275260925293
34,0,0.0,0.0,0.01,23.18275260925293
35,0,0.0,0.0,0.01,23.18275260925293
36,0,0.0,0.0,0.01,23.18275260925293
37,0,0.0,0.0,0.01,23.18275260925293
38,0,0.0,0.0,0.01,31.479024410247803
39,1,0.05,0.02564102564102564,0.01,31.479024410247803
40,0,0.05,0.025,0.01,31.479024410247803
41,0,0.05,0.024390243902439025,0.01,31.479024410247803
42,0,0.05,0.023809523809523808,0.01,31.479024410247803
43,0,0.05,0.023255813953488372,0.01,31.479024410247803
44,0,0.05,0.022727272727272728,0.01,31.479024410247803
45,0,0.05,0.022222222222222223,0.01,31.479024410247803
46,0,0.05,0.021739130434782608,0.01,31.479024410247803
47,0,0.05,0.02127659574468085,0.01,31.479024410247803
48,0,0.05,0.020833333333333332,0.01,31.479024410247803
49,0,0.05,0.02040816326530612,0.01,31.479024410247803
50,0,0.05,0.02,0.01,31.479024410247803
51,0,0.05,0.0196078431372549,0.01,31.479024410247803
52,0,0.05,0.019230769230769232,0.01,31.479024410247803
53,0,0.05,0.018867924528301886,0.01,31.479024410247803
54,0,0.05,0.018518518518518517,0.01,31.479024410247803
55,1,0.1,0.03636363636363636,0.01,31.479024410247803
56,0,0.1,0.03571428571428571,0.01,31.479024410247803
57,0,0.1,0.03508771929824561,0.01,31.479024410247803
58,0,0.1,0.034482758620689655,0.01,31.479024410247803
59,0,0.05,0.03389830508474576,0.01,31.479024410247803
60,0,0.05,0.03333333333333333,0.01,31.479024410247803
61,0,0.05,0.03278688524590164,0.01,31.479024410247803
62,0,0.05,0.03225806451612903,0.01,31.479024410247803
63,0,0.05,0.031746031746031744,0.01,31.24934482574463
64,0,0.05,0.03125,0.01,31.24934482574463
65,1,0.1,0.046153846153846156,0.01,31.24934482574463
66,0,0.1,0.045454545454545456,0.01,31.24934482574463
67,0,0.1,0.04477611940298507,0.01,31.24934482574463
68,0,0.1,0.04411764705882353,0.01,31.24934482574463
69,0,0.1,0.043478260869565216,0.01,31.24934482574463
70,0,0.1,0.04285714285714286,0.01,31.24934482574463
71,0,0.1,0.04225352112676056,0.01,31.24934482574463
72,0,0.1,0.041666666666666664,0.01,31.24934482574463
73,0,0.1,0.0410958904109589,0.01,31.24934482574463
74,0,0.1,0.04054054054054054,0.01,33.52234220504761
75,0,0.05,0.04,0.01,33.52234220504761
76,0,0.05,0.039473684210526314,0.01,33.52234220504761
77,0,0.05,0.03896103896103896,0.01,33.52234220504761
78,0,0.05,0.038461538461538464,0.01,33.52234220504761
79,0,0.05,0.0379746835443038,0.01,33.52234220504761
80,0,0.05,0.0375,0.01,33.52234220504761
81,0,0.05,0.037037037037037035,0.01,33.52234220504761
82,0,0.05,0.036585365853658534,0.01,29.82901954650879
83,0,0.05,0.03614457831325301,0.01,29.82901954650879
84,0,0.05,0.03571428571428571,0.01,29.82901954650879
85,0,0.0,0.03529411764705882,0.01,29.82901954650879
86,0,0.0,0.03488372093023256,0.01,29.82901954650879
87,0,0.0,0.034482758620689655,0.01,29.82901954650879
88,0,0.0,0.03409090909090909,0.01,29.82901954650879
89,0,0.0,0.033707865168539325,0.01,29.82901954650879
90,0,0.0,0.03333333333333333,0.01,29.82901954650879
91,0,0.0,0.03296703296703297,0.01,29.82901954650879
92,0,0.0,0.03260869565217391,0.01,29.82901954650879
93,0,0.0,0.03225806451612903,0.01,32.70784664154053
94,0,0.0,0.031914893617021274,0.01,32.70784664154053
95,0,0.0,0.031578947368421054,0.01,32.29354667663574
96,1,0.05,0.041666666666666664,0.01,32.29354667663574
97,0,0.05,0.041237113402061855,0.01,32.29354667663574
98,0,0.05,0.04081632653061224,0.01,39.735727310180664
99,0,0.05,0.04040404040404041,0.01,39.735727310180664
100,0,0.05,0.04,0.01,39.735727310180664
101,0,0.05,0.04,0.01,39.735727310180664
102,0,0.05,0.04,0.01,39.735727310180664
103,0,0.05,0.04,0.01,39.735727310180664
104,0,0.05,0.04,0.01,39.735727310180664
105,0,0.05,0.04,0.01,39.735727310180664
106,0,0.05,0.04,0.01,39.735727310180664
107,0,0.05,0.04,0.01,39.735727310180664
108,0,0.05,0.04,0.01,39.735727310180664
109,0,0.05,0.04,0.01,39.735727310180664
110,0,0.05,0.04,0.01,39.735727310180664
111,0,0.05,0.04,0.01,39.735727310180664
112,0,0.05,0.04,0.01,39.735727310180664
113,0,0.05,0.04,0.01,39.735727310180664
114,0,0.05,0.04,0.01,39.735727310180664
115,0,0.05,0.04,0.01,39.735727310180664
116,0,0.0,0.04,0.01,32.07937049865723
117,0,0.0,0.04,0.01,32.07937049865723
118,0,0.0,0.04,0.01,32.07937049865723
119,0,0.0,0.04,0.01,32.07937049865723
120,0,0.0,0.04,0.01,35.85827922821045
121,0,0.0,0.04,0.01,35.85827922821045
122,0,0.0,0.04,0.01,35.85827922821045
123,0,0.0,0.04,0.01,35.85827922821045
124,0,0.0,0.04,0.01,35.85827922821045
125,0,0.0,0.04,0.01,35.85827922821045
126,0,0.0,0.04,0.01,35.85827922821045
127,1,0.05,0.05,0.01,29.870932579040527
128,1,0.1,0.06,0.01,28.56574773788452
129,0,0.1,0.06,0.01,29.22784662246704
130,0,0.1,0.06,0.01,29.22784662246704
