episode,score,mean_20,mean_100,epsilon,loss
1,1,1.0,1.0,0.01,
2,0,0.5,0.5,0.01,6.102090835571289
3,0,0.3333333333333333,0.3333333333333333,0.01,7.93924355506897
4,0,0.25,0.25,0.01,7.585729360580444
5,0,0.2,0.2,0.01,18.40522289276123
6,0,0.16666666666666666,0.16666666666666666,0.01,18.40522289276123
7,0,0.14285714285714285,0.14285714285714285,0.01,18.40522289276123
8,1,0.25,0.25,0.01,18.40522289276123
9,0,0.2222222222222222,0.2222222222222222,0.01,18.40522289276123
10,0,0.2,0.2,0.01,18.40522289276123
11,1,0.2727272727272727,0.2727272727272727,0.01,18.40522289276123
12,0,0.25,0.25,0.01,18.40522289276123
13,0,0.23076923076923078,0.23076923076923078,0.01,19.904020309448242
14,0,0.21428571428571427,0.21428571428571427,0.01,19.278953790664673
15,0,0.2,0.2,0.01,20.757065534591675
16,0,0.1875,0.1875,0.01,20.757065534591675
17,0,0.17647058823529413,0.17647058823529413,0.01,27.803356647491455
18,0,0.16666666666666666,0.16666666666666666,0.01,27.803356647491455
19,0,0.15789473684210525,0.15789473684210525,0.01,27.803356647491455
20,0,0.15,0.15,0.01,27.803356647491455
21,0,0.1,0.14285714285714285,0.01,27.803356647491455
22,0,0.1,0.13636363636363635,0.01,27.803356647491455
23,0,0.1,0.13043478260869565,0.01,27.803356647491455
24,0,0.1,0.125,0.01,27.803356647491455
25,0,0.1,0.12,0.01,22.10636854171753
26,0,0.1,0.11538461538461539,0.01,29.809613704681396
27,1,0.15,0.14814814814814814,0.01,29.809613704681396
28,0,0.1,0.14285714285714285,0.01,29.809613704681396
29,0,0.1,0.13793103448275862,0.01,29.809613704681396
30,0,0.1,0.13333333333333333,0.01,29.809613704681396
31,0,0.05,0.12903225806451613,0.01,29.809613704681396
32,0,0.05,0.125,0.01,29.809613704681396
33,1,0.1,0.15151515151515152,0.01,29.809613704681396
34,0,0.1,0.14705882352941177,0.01,29.809613704681396
