episode,score,mean_20,mean_100,epsilon,loss
1,0,0.0,0.0,0.01,36.90105056762695
2,0,0.0,0.0,0.01,36.90105056762695
3,0,0.0,0.0,0.01,36.90105056762695
4,0,0.0,0.0,0.01,36.90105056762695
5,0,0.0,0.0,0.01,36.90105056762695
6,0,0.0,0.0,0.01,36.90105056762695
7,0,0.0,0.0,0.01,36.90105056762695
8,0,0.0,0.0,0.01,36.90105056762695
9,0,0.0,0.0,0.01,36.90105056762695
10,0,0.0,0.0,0.01,36.90105056762695
11,0,0.0,0.0,0.01,36.90105056762695
12,0,0.0,0.0,0.01,36.90105056762695
13,1,0.07692307692307693,0.07692307692307693,0.01,36.90105056762695
14,0,0.07142857142857142,0.07142857142857142,0.01,36.90105056762695
15,0,0.06666666666666667,0.06666666666666667,0.01,36.90105056762695
16,0,0.0625,0.0625,0.01,36.90105056762695
17,0,0.058823529411764705,0.058823529411764705,0.01,36.90105056762695
18,0,0.05555555555555555,0.05555555555555555,0.01,36.90105056762695
19,0,0.05263157894736842,0.05263157894736842,0.01,36.90105056762695
20,0,0.05,0.05,0.01,36.90105056762695
21,0,0.05,0.047619047619047616,0.01,36.90105056762695
22,0,0.05,0.045454545454545456,0.01,36.90105056762695
23,0,0.05,0.043478260869565216,0.01,36.90105056762695
24,0,0.05,0.041666666666666664,0.01,36.90105056762695
25,0,0.05,0.04,0.01,36.90105056762695
26,0,0.05,0.038461538461538464,0.01,36.90105056762695
27,0,0.05,0.037037037037037035,0.01,36.90105056762695
28,0,0.05,0.03571428571428571,0.01,36.90105056762695
29,0,0.05,0.034482758620689655,0.01,36.90105056762695
30,0,0.05,0.03333333333333333,0.01,36.90105056762695
31,0,0.05,0.03225806451612903,0.01,36.90105056762695
32,1,0.1,0.0625,0.01,36.90105056762695
33,1,0.1,0.09090909090909091,0.01,14.321093368530274
34,1,0.15,0.11764705882352941,0.01,14.321093368530274
35,0,0.15,0.11428571428571428,0.01,14.520502090454102
36,0,0.15,0.1111111111111111,0.01,14.520502090454102
37,0,0.15,0.10810810810810811,0.01,14.520502090454102
38,0,0.15,0.10526315789473684,0.01,14.520502090454102
39,0,0.15,0.10256410256410256,0.01,14.520502090454102
40,0,0.15,0.1,0.01,14.520502090454102
41,0,0.15,0.0975609756097561,0.01,14.520502090454102
42,0,0.15,0.09523809523809523,0.01,14.520502090454102
43,0,0.15,0.09302325581395349,0.01,14.520502090454102
44,0,0.15,0.09090909090909091,0.01,14.520502090454102
45,0,0.15,0.08888888888888889,0.01,14.520502090454102
46,0,0.15,0.08695652173913043,0.01,14.520502090454102
47,0,0.15,0.0851063829787234,0.01,14.520502090454102
48,0,0.15,0.08333333333333333,0.01,14.520502090454102
49,0,0.15,0.08163265306122448,0.01,22.0691801071167
50,0,0.15,0.08,0.01,22.0691801071167
51,0,0.15,0.0784313725490196,0.01,22.0691801071167
52,0,0.1,0.07692307692307693,0.01,22.0691801071167
53,0,0.05,0.07547169811320754,0.01,22.0691801071167
54,0,0.0,0.07407407407407407,0.01,22.0691801071167
55,0,0.0,0.07272727272727272,0.01,22.0691801071167
56,0,0.0,0.07142857142857142,0.01,22.0691801071167
57,0,0.0,0.07017543859649122,0.01,22.0691801071167
58,0,0.0,0.06896551724137931,0.01,22.0691801071167
59,0,0.0,0.06779661016949153,0.01,22.0691801071167
60,0,0.0,0.06666666666666667,0.01,22.0691801071167
61,0,0.0,0.06557377049180328,0.01,22.0691801071167
62,0,0.0,0.06451612903225806,0.01,22.0691801071167
63,0,0.0,0.06349206349206349,0.01,22.0691801071167
64,0,0.0,0.0625,0.01,22.0691801071167
65,0,0.0,0.06153846153846154,0.01,19.376602554321288
66,0,0.0,0.06060606060606061,0.01,19.376602554321288
67,0,0.0,0.05970149253731343,0.01,20.59168930053711
68,0,0.0,0.058823529411764705,0.01,20.59168930053711
69,0,0.0,0.057971014492753624,0.01,20.59168930053711
70,0,0.0,0.05714285714285714,0.01,20.59168930053711
71,0,0.0,0.056338028169014086,0.01,20.59168930053711
72,0,0.0,0.05555555555555555,0.01,20.59168930053711
73,0,0.0,0.0547945205479452,0.01,20.59168930053711
74,0,0.0,0.05405405405405406,0.01,20.59168930053711
75,0,0.0,0.05333333333333334,0.01,20.59168930053711
76,0,0.0,0.05263157894736842,0.01,20.59168930053711
77,0,0.0,0.05194805194805195,0.01,20.59168930053711
78,0,0.0,0.05128205128205128,0.01,20.59168930053711
79,0,0.0,0.05063291139240506,0.01,20.59168930053711
80,0,0.0,0.05,0.01,20.59168930053711
81,0,0.0,0.04938271604938271,0.01,20.59168930053711
82,0,0.0,0.04878048780487805,0.01,20.59168930053711
83,0,0.0,0.04819277108433735,0.01,20.59168930053711
84,0,0.0,0.047619047619047616,0.01,20.59168930053711
85,0,0.0,0.047058823529411764,0.01,20.59168930053711
86,0,0.0,0.046511627906976744,0.01,20.59168930053711
87,0,0.0,0.04597701149425287,0.01,24.150553512573243
88,0,0.0,0.045454545454545456,0.01,24.150553512573243
89,0,0.0,0.0449438202247191,0.01,24.150553512573243
90,0,0.0,0.044444444444444446,0.01,23.160058212280273
91,0,0.0,0.04395604395604396,0.01,23.160058212280273
92,0,0.0,0.043478260869565216,0.01,23.160058212280273
93,0,0.0,0.043010752688172046,0.01,23.160058212280273
94,0,0.0,0.0425531914893617,0.01,23.160058212280273
95,0,0.0,0.042105263157894736,0.01,23.160058212280273
96,0,0.0,0.041666666666666664,0.01,23.160058212280273
97,0,0.0,0.041237113402061855,0.01,23.160058212280273
98,0,0.0,0.04081632653061224,0.01,23.160058212280273
99,0,0.0,0.04040404040404041,0.01,23.160058212280273
100,1,0.05,0.05,0.01,23.160058212280273
101,0,0.05,0.05,0.01,23.160058212280273
102,0,0.05,0.05,0.01,23.160058212280273
103,0,0.05,0.05,0.01,23.160058212280273
104,0,0.05,0.05,0.01,23.160058212280273
105,0,0.05,0.05,0.01,23.160058212280273
106,0,0.05,0.05,0.01,23.160058212280273
107,0,0.05,0.05,0.01,23.160058212280273
108,0,0.05,0.05,0.01,23.160058212280273
109,0,0.05,0.05,0.01,23.160058212280273
110,0,0.05,0.05,0.01,17.293254470825197
111,0,0.05,0.05,0.01,17.293254470825197
112,0,0.05,0.05,0.01,17.293254470825197
113,0,0.05,0.04,0.01,17.293254470825197
114,0,0.05,0.04,0.01,17.293254470825197
115,0,0.05,0.04,0.01,17.293254470825197
116,0,0.05,0.04,0.01,17.293254470825197
117,0,0.05,0.04,0.01,14.926542472839355
118,0,0.05,0.04,0.01,14.926542472839355
119,0,0.05,0.04,0.01,14.926542472839355
120,0,0.0,0.04,0.01,14.926542472839355
