episode,score,mean_20,mean_100,epsilon,loss
1,1,1.0,1.0,0.01,7.762704372406006
2,1,1.0,1.0,0.01,7.762704372406006
3,1,1.0,1.0,0.01,7.762704372406006
4,1,1.0,1.0,0.01,7.762704372406006
5,0,0.8,0.8,0.01,5.519347190856934
6,0,0.6666666666666666,0.6666666666666666,0.01,5.519347190856934
7,0,0.5714285714285714,0.5714285714285714,0.01,5.519347190856934
8,0,0.5,0.5,0.01,2.781386613845825
9,0,0.4444444444444444,0.4444444444444444,0.01,2.781386613845825
10,0,0.4,0.4,0.01,2.781386613845825
11,0,0.36363636363636365,0.36363636363636365,0.01,2.781386613845825
12,0,0.3333333333333333,0.3333333333333333,0.01,11.385296821594238
13,0,0.3076923076923077,0.3076923076923077,0.01,11.385296821594238
14,0,0.2857142857142857,0.2857142857142857,0.01,11.385296821594238
15,1,0.3333333333333333,0.3333333333333333,0.01,11.385296821594238
16,0,0.3125,0.3125,0.01,6.510395050048828
17,0,0.29411764705882354,0.29411764705882354,0.01,6.510395050048828
18,0,0.2777777777777778,0.2777777777777778,0.01,6.510395050048828
19,0,0.2631578947368421,0.2631578947368421,0.01,6.510395050048828
20,1,0.3,0.3,0.01,6.510395050048828
21,0,0.25,0.2857142857142857,0.01,14.95207691192627
22,0,0.2,0.2727272727272727,0.01,12.716733932495117
23,1,0.2,0.30434782608695654,0.01,12.716733932495117
24,0,0.15,0.2916666666666667,0.01,12.716733932495117
25,0,0.15,0.28,0.01,11.595396041870117
26,0,0.15,0.2692307692307692,0.01,11.595396041870117
27,0,0.15,0.25925925925925924,0.01,17.749727249145508
28,0,0.15,0.25,0.01,17.749727249145508
29,0,0.15,0.2413793103448276,0.01,17.749727249145508
30,0,0.15,0.23333333333333334,0.01,17.541038513183594
31,0,0.15,0.22580645161290322,0.01,17.541038513183594
32,0,0.15,0.21875,0.01,17.541038513183594
33,0,0.15,0.21212121212121213,0.01,19.039018630981445
34,0,0.15,0.20588235294117646,0.01,19.794818878173828
35,0,0.1,0.2,0.01,17.26673126220703
36,0,0.1,0.19444444444444445,0.01,17.26673126220703
37,0,0.1,0.1891891891891892,0.01,17.26673126220703
38,0,0.1,0.18421052631578946,0.01,17.26673126220703
39,0,0.1,0.1794871794871795,0.01,17.26673126220703
40,1,0.1,0.2,0.01,26.648727416992188
41,1,0.15,0.21951219512195122,0.01,26.648727416992188
42,0,0.15,0.21428571428571427,0.01,25.760149002075195
43,0,0.1,0.20930232558139536,0.01,25.760149002075195
44,0,0.1,0.20454545454545456,0.01,17.892520904541016
45,0,0.1,0.2,0.01,17.892520904541016
46,0,0.1,0.1956521739130435,0.01,17.892520904541016
47,0,0.1,0.19148936170212766,0.01,17.86857032775879
48,0,0.1,0.1875,0.01,17.86857032775879
49,0,0.1,0.1836734693877551,0.01,17.86857032775879
50,0,0.1,0.18,0.01,17.86857032775879
51,0,0.1,0.17647058823529413,0.01,17.86857032775879
52,0,0.1,0.17307692307692307,0.01,17.86857032775879
53,0,0.1,0.16981132075471697,0.01,17.86857032775879
54,0,0.1,0.16666666666666666,0.01,17.86857032775879
55,0,0.1,0.16363636363636364,0.01,17.86857032775879
56,0,0.1,0.16071428571428573,0.01,17.86857032775879
57,1,0.15,0.17543859649122806,0.01,14.057024002075195
58,0,0.15,0.1724137931034483,0.01,21.344093322753906
59,0,0.15,0.1694915254237288,0.01,26.3392333984375
60,0,0.1,0.16666666666666666,0.01,26.3392333984375
61,0,0.05,0.16393442622950818,0.01,26.3392333984375
62,0,0.05,0.16129032258064516,0.01,26.3392333984375
63,0,0.05,0.15873015873015872,0.01,26.3392333984375
64,0,0.05,0.15625,0.01,29.171113967895508
65,0,0.05,0.15384615384615385,0.01,22.990234375
66,0,0.05,0.15151515151515152,0.01,22.990234375
67,0,0.05,0.14925373134328357,0.01,17.08133316040039
68,0,0.05,0.14705882352941177,0.01,21.150659561157227
69,0,0.05,0.14492753623188406,0.01,26.56007194519043
70,0,0.05,0.14285714285714285,0.01,33.419132232666016
